video,index,start_time,end_time,korean subtitle,start_seconds,end_seconds,Google translation,Microsoft translation,DeepL translation
0000,1,0 days 00:00:00,0 days 00:00:03.920000,Cauldron,0.0,3.92,Cauldron,Cauldron,Cauldron
0000,2,0 days 00:00:03.920000,0 days 00:00:05.900000,uz,3.92,5.9,uz,uz,uz
0000,3,0 days 00:00:10.120000,0 days 00:00:14.200000,얼굴에 있는 너낌,10.12,14.2,The feeling on your face,Generosity on the face,In the face
0000,4,0 days 00:00:14.200000,0 days 00:00:17.760000,나는 인스타그램의 회 circular,14.2,17.76,I am a member of Instagram circular,I posted a message on Instagram.,I use Instagram's circular
0000,5,0 days 00:00:19.280000,0 days 00:00:22.780000,04,19.28,22.78,04,04,04
0000,6,0 days 00:00:22.780000,0 days 00:00:25.180000,oden,22.78,25.18,oden,oden,oden
0000,7,0 days 00:00:26.120000,0 days 00:00:28.220000,bla,26.12,28.22,bla,bla,bla
0000,8,0 days 00:00:28.220000,0 days 00:00:31.840000,그래 난 내가 봐도 별로인 걸,28.22,31.84,"Yeah, even when I look at it, I don’t like it","yes, I don't like it even if I see it","Yeah, I know, I don't like what I see."
0000,9,0 days 00:00:31.840000,0 days 00:00:33.960000,매일 밤 인탐색 탭,31.84,33.96,Browse tab every night,Every night in the search tab,The InDiscovery tab each night
0000,10,0 days 00:00:33.960000,0 days 00:00:35.440000,너만 없는 샤넬,33.96,35.44,Chanel without you,Chanel without you,Chanel without you
0000,11,0 days 00:00:35.440000,0 days 00:00:38.280000,왠지 나보다 성숙한 요즘 10대,35.44,38.28,Somehow teenagers these days are more mature than me.,Teenagers are more mature than me these days,Teenagers who are somehow more mature than me
0000,12,0 days 00:00:38.280000,0 days 00:00:39.700000,MZT hashtag,38.28,39.7,MZT hashtag,MZT hashtag,MZT hashtag
0000,13,0 days 00:00:39.700000,0 days 00:00:41.200000,Why do I check it?,39.7,41.2,Why do I check it?,Why do I check it?,Why do I check it?
0000,14,0 days 00:00:41.200000,0 days 00:00:44,세상은 나 빼고 질투를 가,41.2,44.0,The world is jealous except me,The world is jealous except for me.,"The world is jealous, except for me"
0000,15,0 days 00:00:45,0 days 00:00:47.600000,Please give me the help button,45.0,47.6,Please give me the help button,Please give me the help button,Please give me the help button
0000,16,0 days 00:00:48.080000,0 days 00:00:50.240000,난 내가 너무 싫거든,48.08,50.24,I hate myself so much,I hate myself so much,I hate myself so much
0000,17,0 days 00:00:50.240000,0 days 00:00:50.960000,Oh damn,50.24,50.96,Oh damn,Oh damn,Oh damn
0000,18,0 days 00:00:50.960000,0 days 00:00:52.360000,"All right, all right",50.96,52.36,"All right, all right","All right, all right","All right, all right"
0000,19,0 days 00:00:52.360000,0 days 00:00:54.160000,"Yeah, oh my, oh my",52.36,54.16,"Yeah, oh my, oh my","Yeah, oh my, oh my","Yeah, oh my, oh my"
0000,20,0 days 00:00:54.160000,0 days 00:00:55.600000,빌어먹을 My name,54.16,55.6,Damn my name,My Name,Damn My name
0000,21,0 days 00:00:55.600000,0 days 00:00:56.880000,Why you pretty?,55.6,56.88,Why are you pretty?,Why you pretty?,Why you pretty?
0000,22,0 days 00:00:56.880000,0 days 00:00:58.500000,Why you loving?,56.88,58.5,Why do you love?,Why you loving?,Why you loving?
0000,23,0 days 00:00:58.500000,0 days 00:00:59.780000,Why you sexy?,58.5,59.78,Why are you sexy?,Why you sexy?,Why you sexy?
0000,24,0 days 00:00:59.780000,0 days 00:01:01.780000,Why am I me?,59.78,61.78,Why am I me?,Why am I me?,Why am I me?
0000,25,0 days 00:01:01.780000,0 days 00:01:02.700000,"Love me, love me",61.78,62.7,"Love me, love me","Love me, love me","Love me, love me"
0000,26,0 days 00:01:02.700000,0 days 00:01:04.700000,"Love me, love me, love me what?",62.7,64.7,"Love me, love me, love me what?","Love me, love me, love me what?","Love me, love me, love me what?"
0000,27,0 days 00:01:04.700000,0 days 00:01:05.620000,"Love me, love me",64.7,65.62,"Love me, love me","Love me, love me","Love me, love me"
0000,28,0 days 00:01:05.620000,0 days 00:01:07.220000,"Love me, love me, love me what?",65.62,67.22,"Love me, love me, love me what?","Love me, love me, love me what?","Love me, love me, love me what?"
