korean,actual translation,Google translation,Microsoft translation,DeepL translation
아직 3분 시작된 건 아니죠? 그렇죠?,"My three minutes hasn't started yet, has it?","The 3 minutes haven't started yet, right? Right?","It's not three minutes yet, right? Right?","It's not quite three minutes in yet, is it?"
"네, 맘대로 시작하실 수 없습니다.","No, you can't start the three minutes.","Yes, you can't start it however you want.","Yes, you can't start as you want.","Yes, you can't just start at will."
"3분 다시 설정해주세요, 이건 반칙입니다.","Reset the three minutes, that's just not fair.","Please reset the time to 3 minutes, this is a foul.","Please set it again for 3 minutes, this is a foul.","Please reset the 3 minutes, this is cheating."
"어머나, 여기 참 냉정하네요","Oh my God, it's harsh up here.","Oh my, it's so cold in here.","Oh my God, it's so cold here","My goodness, this place is cold."
정말이지 긴장되네요,I mean I'm nervous enough as it is.,I'm really nervous.,I'm really nervous,I'm really nervous
하지만 5주 전만큼은 아니죠.,But I am not as nervous as I was five weeks ago.,But not as much as it was 5 weeks ago.,But not as much as it was five weeks ago.,But not as much as five weeks ago.
5주전에 고관절 전치환 수술을 받았어요.,Five weeks ago I had total hip replacement surgery.,I had total hip replacement surgery 5 weeks ago.,I had total hip replacement surgery five weeks ago.,I had total hip replacement surgery five weeks ago.
그 수술이 어떤 것인지 아시나요?,Do you know that surgery?,Do you know what that surgery is like?,Do you know what that surgery looks like?,Do you know what that surgery is like?
"전기톱, 전동드릴, 정말 끔찍한 것이죠. 하지만 당신이 데이비드 볼린스키라면 이건 완변한 진리이고, 아름다움이겠죠.","Electric saw, power drill, totally disgusting unless you're David Bolinsky, in which case it's all truth and beauty.","Chainsaws, power drills, really horrible things. But if you're David Bolinsky, this is the absolute truth and beauty.","Chainsaws, electric drills, it's a terrible thing. But if you're David Bolinsky, it's a completely changing truth, it's a beauty.","Chainsaws, power drills, it's a horrible thing, but if you're David Bolinsky, it's the absolute truth, it's the beauty."
"네, 데이비드, 이게 당신 골반이 아니라면, 진리이고 아름다움일겁니다.","Sure David, if it's not your hip, it's truth and beauty.","Yes, David, if this were not your pelvis, it would be truth and beauty.","Yes, David, if this is not your pelvis, it would be truth and beauty.","Yes, David, if this isn't your pelvis, it's truth and beauty."
"어쨌든, 이런 상황속에서 저는 정말 크나큰 깨닮음을 얻었어요. 그래서 크리스가 저를 그것에 관해 이야기하도록 초대했구요.","Anyway, I did have a really big epiphany around the situation, so Chris invited me to tell you about it.","Anyway, in this situation, I really gained a great enlightenment. So Chris invited me to talk about it.","Anyway, in this situation, I really gained a great sense of similarity. So Chris invited me to talk about it.","Anyway, this was a really big wake-up call for me, so Chris invited me to talk about it."
하지만 먼저 저에 관해 두가지를 알아두셔야 돼요.,But first you need to know two things about me.,But first you need to know two things about me.,"But first, you need to know two things about me.","But first, you need to know two things about me."
단지 두가지,Just two things.,just two things,Only two,Just two
"저는 캐나다인이고, 7자녀들 중 막내랍니다.","I'm Canadian, and I'm the youngest of seven kids.","I am Canadian, and I am the youngest of seven children.",I am Canadian and the youngest of seven children.,I'm Canadian and the youngest of seven children.
"현재, 캐나다에는 멋진 의료 시스템이 있어요.","Now, in Canada, we have that great healthcare system.","Currently, Canada has a wonderful health care system.","Currently, Canada has a wonderful healthcare system.","Right now, Canada has a great healthcare system."
이 말은 캐나다인은 무료로 새로운 골반을 가질 수 있다는 겁니다.,That means we get our new hips for free.,This means Canadians can get a new pelvis for free.,This means that Canadians can have a new pelvis for free.,This means that Canadians can get a new pelvis for free.
"그리고, 7명중 막내로서 저는 어떤 상황에서도 제일 앞줄에 서 본 적이 없어요. 아시겠죠?","And being the youngest of seven, I have never been at the front of the line for anything. OK?","And, as the youngest of seven, I have never been in the front row under any circumstances. You know, right?","And as the youngest of the seven, I've never been in the front row under any circumstances. You know?","And, as the youngest of seven, I've never been in the front row of anything, okay?"
저는 몇년간을 제 골반때문에 고생했구요.,So my hip had been hurting me for years.,I have suffered with my pelvis for several years.,I have been suffering from my pelvis for several years.,I spent years struggling with my pelvis.
"마침내 의사를 찾아갔어요, 물론 그건 무료였죠","I finally went to the doctor, which was free.","I finally went to the doctor, of course it was free","Finally, I went to the doctor, and of course, it was free","I finally went to the doctor, which was free, of course."
그리고 의사가 정형외과 수술을 권하더군요. 물론 무료죠.,"And she referred me to an orthopedic surgeon, also free.",And the doctor recommended orthopedic surgery. Of course it's free.,"And the doctor recommended orthopedic surgery. Of course, it's free.","And the doctor recommended orthopedic surgery, which was free of charge."
"결국 10개월, 거의 1년을 기다린 끝에 정형외과의를 보러 갔죠.",Finally got to see him after 10 months of waiting -- almost a year.,"Finally, after waiting 10 months, almost a year, I went to see an orthopedic surgeon.","In the end, after waiting for 10 months, almost a year, I went to see an orthopedic surgeon.","Eventually, after waiting 10 months, almost a year, I went to see an orthopedic surgeon."
이것이 무료라는 것에 대한 대가랍니다.,That is what free gets you.,This is the price you pay for being free.,This is the price for being free.,That's the price you pay for being free.
"저는 외과의사를 만나, 무료로 엑스레이 촬영을 했구요. 엑스레이 사진들을 보게 되었구요. 그리고 아시다시피 제가 봐도 제 골반 상태가 좋지 않다는 것을 알겠더군요. 사실 제가 마케팅 분야에서 일하고 있거든요.","I met the surgeon, and he took some free X-rays, and I got a good look at them. And you know, even I could tell my hip was bad, and I actually work in marketing.","I met a surgeon and got an X-ray for free. I got to see the X-ray pictures. And as you know, I could see that my pelvis was not in good condition. Actually, I work in the marketing field.","I met a surgeon and had an X-ray for free. I saw X-ray photos. And you know, even when I look at it, I can see that my pelvis is not in good condition. Actually, I work in the marketing field.","I went to see a surgeon, and they did an X-ray for free, and I got to see the x-rays, and you know, even I could see that my pelvis was not in good shape, and I actually work in marketing."
"그가 말하길, ""앨리슨, 우리는 당신을 수술할 겁니다""","So he said, ""Allison, we've got to get you on the table.","He said, ""Allison, we're going to operate on you.""","He said, ""Allison, we're going to operate on you.""","He said, ""Alison, we're going to operate on you."""
"당신 골반을 교체할 생각입니다만, 18개월 정도 기다리셔야 합니다.","I'm going to replace your hip -- it's about an 18-month wait.""","I'm considering replacing your pelvis, but I'll have to wait about 18 months.","I'm thinking of replacing your pelvis, but you'll have to wait about 18 months.","We're thinking about replacing your pelvis, but you'll have to wait 18 months."
18개월 더요,18 more months.,18 more months,18 months more,18 more months
"전 이미 10달이나 기다렸어요, 그런데 18개월을 더 기다려야 한다는 군요.","I'd already waited 10 months, and I had to wait 18 more months.","I've already waited 10 months, but they say I have to wait another 18 months.","I've already waited 10 months, but I have to wait another 18 months.","I've already waited 10 months, and now I'm told I have to wait another 18 months."
"아시겠어요, 그건 너무 긴시간이예요. 실제로 테드를 고려해서 생각해 봐도 말이죠.","You know, it's such a long wait that I actually started to even think about it in terms of TEDs.","Do you know, that's too long. Even if you actually take Ted into account.","You know, that's too long. Even if you actually think about Ted.","Okay, that's a long time, even when you actually think about it Ted."
전 여기 테드에 서기 위해 새 골반을 가지지 않았을 겁니다.,I wouldn't have my new hip for this TED.,I wouldn't have a new pelvis to stand here at Ted.,I wouldn't have a new pelvis to stand here in Ted.,I wouldn't have gotten a new pelvis to stand here on Ted.
전 아프리카에서 열릴 테드글로발을 위해 새 골반을 가지지 않았을 거구요.,I wouldn't have my new hip for TEDGlobal in Africa.,I wouldn't have a new pelvis for Ted Global in Africa.,I wouldn't have had a new pelvis for the Ted Globe in Africa.,I wouldn't have gotten a new pelvis for the TedGlobal in Africa.
전 테드2008을 위해 새 골반을 가지지 않았을 겁니다.,I would not have my new hip for TED2008.,I wouldn't have gotten a new pelvis for TED2008.,I wouldn't have had a new pelvis for Ted 2008.,I wouldn't have gotten a new pelvis for Ted2008.
전 여전히 제 아픈 골반으로 지탱하고 있었겠죠. 그건 정말 실망스러웠죠.,I would still be on my bad hip. That was so disappointing.,I would still be supporting myself with my sore pelvis. That was really disappointing.,I would still be supporting my sore pelvis. That was really disappointing.,"I would still be supporting it with my sore pelvis, which was really frustrating."
"전 진료실을 나왔어요, 그리고 병원을 걸었답니다. 그때 제가 무언가를 깨달앗어요.","So, I left his office and I was walking through the hospital, and that's when I had my epiphany.",I left the doctor's office and walked through the hospital. That's when I realized something.,I left the doctor's office and walked to the hospital. That's when I realized something.,"I left the doctor's office, and I walked through the hospital, and that's when I realized something."
이 7째중에 막내인 제가 제일 앞 줄로 나가야만 했어요.,This youngest of seven had to get herself to the front of the line.,"As the youngest of the 7, I had to go to the front row.","As the youngest of these seven children, I had to go to the front row.","As the youngest of these seven, I had to go to the front of the line."
네 맞아요.,Oh yeah.,yes that's right.,Yes that's right.,"Yes, that's right."
제가 보통 캐나다 사람들이 어떤지 말했나요?,Can I tell you how un-Canadian that is?,Did I mention what Canadians are like in general?,Did I say what ordinary Canadians are like?,Did I mention what the average Canadian is like?
우리는 그런식으로 생각하지 않죠.,We do not think that way.,We don't think that way.,We don't think like that.,We don't think of it that way.
우린 그런 것에 관해 이야기조차 안하죠. 음.. 그건 아예 관심 밖이죠.,We don't talk about it. It's not even a consideration.,We don't even talk about that. Well... that's completely out of the question.,"We don't even talk about that. Well, that's not my interest at all.","We don't even talk about it because, well, it's just not on our radar."
"사실, 우리가 외국으로 여행 중에서 우리 캐나다인을 구별하는 방법이기도 해요","In fact, when we're traveling abroad, it's how we identify fellow Canadians.","In fact, it's how we distinguish ourselves as Canadians when we travel abroad.","In fact, it's also how we distinguish Canadians when we travel to foreign countries","In fact, it's how we distinguish us Canadians when we're traveling abroad."
"""당신 뒤"" "" 아니요, 뒤에 있는 분이요""","""After you."" ""Oh, no, no. After you.""","“Behind you” “No, the one behind you”","""Behind you"" ""No, the one behind you""","""Behind you"" ""No, the person behind you"""
"이봐요, 캐나다 사람인가요? ""어머, 저두요! 안녕하세요!""","Hey, are you from Canada? ""Oh, me too! Hi!""","Hey, are you Canadian? “Oh, me too! Hello!”","Hey, are you Canadian? ""Oh, that's it! Hello!""","Hey, are you Canadian? ""Hey, me too! hello!"""
"""와우! 반가워요!""","""Great! Excellent!""",“Wow! Nice to meet you!”,"""Wow! Nice to meet you!""","""Wow, nice to meet you!"""
