korean,actual translation,Google translation,DeepL translation,bleurt_score,comet_score
아직 3분 시작된 건 아니죠? 그렇죠?,"My three minutes hasn't started yet, has it?","The 3 minutes haven't started yet, right? Right?",,0.10917980968952179,0.8568311929702759
"크리스 앤더슨:네, 맘대로 시작하실 수 없습니다.","No, you can't start the three minutes.","Chris Anderson: Yes, you can't just start.",,-0.6642258167266846,0.7606961727142334
"3분 다시 설정해주세요, 이건 반칙입니다.","Reset the three minutes, that's just not fair.","Please reset the time to 3 minutes, this is a foul.",,-0.5793778896331787,0.7839458584785461
"앨리슨 헌트 : 어머나, 여기 참 냉정하네요","Oh my God, it's harsh up here.","Allison Hunt: Oh my, it's so cold in here.",,-0.9233299493789673,0.7938157320022583
정말이지 긴장되네요,I mean I'm nervous enough as it is.,I'm really nervous.,,0.4433097541332245,0.8158122897148132
하지만 5주 전만큼은 아니죠.,But I am not as nervous as I was five weeks ago.,But not as much as it was 5 weeks ago.,,-0.21976065635681152,0.6634488701820374
5주전에 고관절 전치환 수술을 받았어요.,Five weeks ago I had total hip replacement surgery.,I had total hip replacement surgery 5 weeks ago.,,0.7969740629196167,0.9444591403007507
그 수술이 어떤 것인지 아시나요?,Do you know that surgery?,Do you know what that surgery is like?,,0.43953952193260193,0.9468254446983337
"전기톱, 전동드릴, 정말 끔찍한 것이죠. 하지만 당신이 데이비드 볼린스키라면 이건 완변한 진리이고, 아름다움이겠죠.","Electric saw, power drill, totally disgusting unless you're David Bolinsky, in which case it's all truth and beauty.","Chainsaws, power drills, really horrible things. But if you're David Bolinsky, this is the absolute truth and beauty.",,-0.18171969056129456,0.7284795641899109
"네, 데이비드, 이게 당신 골반이 아니라면, 진리이고 아름다움일겁니다.","Sure David, if it's not your hip, it's truth and beauty.","Yes, David, if this were not your pelvis, it would be truth and beauty.",,0.00017567723989486694,0.7051324248313904
"어쨌든, 이런 상황속에서 저는 정말 크나큰 깨닮음을 얻었어요. 그래서 크리스가 저를 그것에 관해 이야기하도록 초대했구요.","Anyway, I did have a really big epiphany around the situation, so Chris invited me to tell you about it.","Anyway, in this situation, I really gained a great enlightenment. So Chris invited me to talk about it.",,0.05871455371379852,0.8631795048713684
하지만 먼저 저에 관해 두가지를 알아두셔야 돼요.,But first you need to know two things about me.,But first you need to know two things about me.,,1.0291458368301392,0.9803428053855896
단지 두가지,Just two things.,just two things,,1.0883123874664307,0.9665080308914185
"저는 캐나다인이고, 7자녀들 중 막내랍니다.","I'm Canadian, and I'm the youngest of seven kids.","I am Canadian, and I am the youngest of seven children.",,0.9429195523262024,0.9534935355186462
"현재, 캐나다에는 멋진 의료 시스템이 있어요.","Now, in Canada, we have that great healthcare system.","Currently, Canada has a wonderful health care system.",,0.6161854267120361,0.9233190417289734
이 말은 캐나다인은 무료로 새로운 골반을 가질 수 있다는 겁니다.,That means we get our new hips for free.,This means Canadians can get a new pelvis for free.,,-0.27220067381858826,0.7945868372917175
"그리고, 7명중 막내로서 저는 어떤 상황에서도 제일 앞줄에 서 본 적이 없어요. 아시겠죠?","And being the youngest of seven, I have never been at the front of the line for anything. OK?","And, as the youngest of seven, I have never been in the front row under any circumstances. You know, right?",,0.38482677936553955,0.8628635406494141
저는 몇년간을 제 골반때문에 고생했구요.,So my hip had been hurting me for years.,I have suffered with my pelvis for several years.,,-0.26064151525497437,0.6838149428367615
"마침내 의사를 찾아갔어요, 물론 그건 무료였죠","I finally went to the doctor, which was free.","I finally went to the doctor, of course it was free",,0.5982016324996948,0.9462701082229614
그리고 의사가 정형외과 수술을 권하더군요. 물론 무료죠.,"And she referred me to an orthopedic surgeon, also free.",And the doctor recommended orthopedic surgery. Of course it's free.,,0.06262756884098053,0.8236595988273621
"결국 10개월, 거의 1년을 기다린 끝에 정형외과의를 보러 갔죠.",Finally got to see him after 10 months of waiting -- almost a year.,"Finally, after waiting 10 months, almost a year, I went to see an orthopedic surgeon.",,-0.5847036242485046,0.7989427447319031
이것이 무료라는 것에 대한 대가랍니다.,That is what free gets you.,This is the price you pay for being free.,,0.24892446398735046,0.8473796844482422
"저는 외과의사를 만나, 무료로 엑스레이 촬영을 했구요. 엑스레이 사진들을 보게 되었구요. 그리고 아시다시피 제가 봐도 제 골반 상태가 좋지 않다는 것을 알겠더군요. 사실 제가 마케팅 분야에서 일하고 있거든요.","I met the surgeon, and he took some free X-rays, and I got a good look at them. And you know, even I could tell my hip was bad, and I actually work in marketing.","I met a surgeon and got an X-ray for free. I got to see the X-ray pictures. And as you know, I could see that my pelvis was not in good condition. Actually, I work in the marketing field.",,0.21101349592208862,0.7768470048904419
"그가 말하길, ""앨리슨, 우리는 당신을 수술할 겁니다""","So he said, ""Allison, we've got to get you on the table.","He said, ""Allison, we're going to operate on you.""",,-0.38176724314689636,0.7230287194252014
"당신 골반을 교체할 생각입니다만, 18개월 정도 기다리셔야 합니다.","I'm going to replace your hip -- it's about an 18-month wait.""","I'm considering replacing your pelvis, but I have to wait about 18 months.",,0.2427753508090973,0.7563664317131042
18개월 더요,18 more months.,18 more months,,1.0259922742843628,0.9639502167701721
"전 이미 10달이나 기다렸어요, 그런데 18개월을 더 기다려야 한다는 군요.","I'd already waited 10 months, and I had to wait 18 more months.","I've already waited 10 months, but they say I have to wait another 18 months.",,0.3380931615829468,0.9097179770469666
"아시겠어요, 그건 너무 긴시간이예요. 실제로 테드를 고려해서 생각해 봐도 말이죠.","You know, it's such a long wait that I actually started to even think about it in terms of TEDs.","Do you know, that's too long. Even if you actually take Ted into account.",,-0.15787507593631744,0.5866187810897827
