korean,actual translation,Google translation,Microsoft translation,DeepL translation,Google translation_bleurt,Google translation_comet,Microsoft translation_bleurt,Microsoft translation_comet,DeepL translation_bleurt,DeepL translation_comet,cosine_Google_translation,cosine_Microsoft_translation,cosine_DeepL_translation,Google translation_bleurt_minmax,Microsoft translation_bleurt_minmax,DeepL translation_bleurt_minmax
아직 3분 시작된 건 아니죠? 그렇죠?,"My three minutes hasn't started yet, has it?","The 3 minutes haven't started yet, right? Right?","It's not three minutes yet, right? Right?","It's not quite three minutes in yet, is it?",0.1091798096895217,0.8568310737609863,-0.223568394780159,0.7606741786003113,0.2150063812732696,0.7856010794639587,0.9127289,0.81438804,0.8277004,0.6043986732592151,0.5099061360181444,0.645777915332024
"네, 맘대로 시작하실 수 없습니다.","No, you can't start the three minutes.","Yes, you can't start it however you want.","Yes, you can't start as you want.","Yes, you can't just start at will.",-0.1790168583393097,0.7441701889038086,-0.1732760667800903,0.7730998396873474,-0.4623010754585266,0.746914267539978,0.637112,0.6848213,0.5495714,0.498888530870188,0.5273459309038204,0.39368715192119125
"3분 다시 설정해주세요, 이건 반칙입니다.","Reset the three minutes, that's just not fair.","Please reset the time to 3 minutes, this is a foul.","Please set it again for 3 minutes, this is a foul.","Please reset the 3 minutes, this is cheating.",-0.5793778896331787,0.7839458584785461,-0.7734357118606567,0.7464504837989807,-0.4755957722663879,0.8163549900054932,0.6600772,0.53154784,0.6317929,0.352314492704667,0.3192294740786188,0.38873892606851695
"어머나, 여기 참 냉정하네요","Oh my God, it's harsh up here.","Oh my, it's so cold in here.","Oh my God, it's so cold here","My goodness, this place is cold.",-0.4567020237445831,0.8247504830360413,-0.5279672145843506,0.8755553960800171,-0.2047978639602661,0.8011286854743958,0.5266609,0.52367735,0.48273957,0.3972266985470609,0.40435021542485444,0.4895286793134442
정말이지 긴장되네요,I mean I'm nervous enough as it is.,I'm really nervous.,I'm really nervous,I'm really nervous,0.4433097541332245,0.8158132433891296,0.396190881729126,0.8081041574478149,0.396190881729126,0.8081041574478149,0.84999216,0.84357077,0.84357077,0.7267252020696245,0.7248191275345067,0.713213964624205
하지만 5주 전만큼은 아니죠.,But I am not as nervous as I was five weeks ago.,But not as much as it was 5 weeks ago.,But not as much as it was five weeks ago.,But not as much as five weeks ago.,-0.2197606563568115,0.6634488701820374,-0.1985735744237899,0.672073245048523,-0.2325207293033599,0.5684824585914612,0.5840068,0.5791179,0.6064389,0.4839720366591365,0.5185735522534557,0.47921035457212413
5주전에 고관절 전치환 수술을 받았어요.,Five weeks ago I had total hip replacement surgery.,I had total hip replacement surgery 5 weeks ago.,I had total hip replacement surgery five weeks ago.,I had total hip replacement surgery five weeks ago.,0.7969740629196167,0.9444591403007508,0.8156265020370483,0.9510833621025084,0.8156265020370483,0.9510833621025084,0.98049855,0.9954351,0.9954351,0.8562033526436488,0.8702661862967586,0.8693260001174008
그 수술이 어떤 것인지 아시나요?,Do you know that surgery?,Do you know what that surgery is like?,Do you know what that surgery looks like?,Do you know what that surgery is like?,0.4395395219326019,0.9468255639076232,0.301395833492279,0.9326460361480712,0.4395395219326019,0.9468254446983336,0.93306994,0.9087462,0.93306994,0.7253449025018044,0.691947191333301,0.7293481318965477
"전기톱, 전동드릴, 정말 끔찍한 것이죠. 하지만 당신이 데이비드 볼린스키라면 이건 완변한 진리이고, 아름다움이겠죠.","Electric saw, power drill, totally disgusting unless you're David Bolinsky, in which case it's all truth and beauty.","Chainsaws, power drills, really horrible things. But if you're David Bolinsky, this is the absolute truth and beauty.","Chainsaws, electric drills, it's a terrible thing. But if you're David Bolinsky, it's a completely changing truth, it's a beauty.","Chainsaws, power drills, it's a horrible thing, but if you're David Bolinsky, it's the absolute truth, it's the beauty.",-0.1817196905612945,0.7284795641899109,-0.4904917776584625,0.6769505143165588,-0.414777398109436,0.7033177018165588,0.8114044,0.74094146,0.79109555,0.4978990114057688,0.4173455162834204,0.4113752490829007
"네, 데이비드, 이게 당신 골반이 아니라면, 진리이고 아름다움일겁니다.","Sure David, if it's not your hip, it's truth and beauty.","Yes, David, if this were not your pelvis, it would be truth and beauty.","Yes, David, if this is not your pelvis, it would be truth and beauty.","Yes, David, if this isn't your pelvis, it's truth and beauty.",0.0001756772398948,0.7051324248313904,-0.0024744868278503,0.7098447680473328,-0.1258416771888733,0.7289174795150757,0.82457685,0.8240466,0.86950016,0.5644917527024448,0.5865745377106555,0.5189158139173534
"어쨌든, 이런 상황속에서 저는 정말 크나큰 깨닮음을 얻었어요. 그래서 크리스가 저를 그것에 관해 이야기하도록 초대했구요.","Anyway, I did have a really big epiphany around the situation, so Chris invited me to tell you about it.","Anyway, in this situation, I really gained a great enlightenment. So Chris invited me to talk about it.","Anyway, in this situation, I really gained a great sense of similarity. So Chris invited me to talk about it.","Anyway, this was a really big wake-up call for me, so Chris invited me to talk about it.",0.0587145537137985,0.8631795048713684,0.0419550761580467,0.8208561539649963,-0.0365288630127906,0.8663164973258972,0.75088096,0.7796097,0.7882818,0.5859231080137329,0.601981310396406,0.5521576382679365
하지만 먼저 저에 관해 두가지를 알아두셔야 돼요.,But first you need to know two things about me.,But first you need to know two things about me.,"But first, you need to know two things about me.","But first, you need to know two things about me.",1.0291458368301392,0.9803428053855896,1.001900553703308,0.9735109806060792,1.001900553703308,0.9735109806060792,0.9999999,0.9961183,0.9961183,0.9412025203701876,0.9348601588322702,0.9386563572860079
단지 두가지,Just two things.,just two things,Only two,Just two,1.0883123874664309,0.9665080308914183,0.0263490378856658,0.7098432183265686,0.0686913728713989,0.8132455945014954,0.981279,0.7821202,0.8440819,0.9628636701156044,0.5965696279933175,0.5913201328288324
"저는 캐나다인이고, 7자녀들 중 막내랍니다.","I'm Canadian, and I'm the youngest of seven kids.","I am Canadian, and I am the youngest of seven children.",I am Canadian and the youngest of seven children.,I'm Canadian and the youngest of seven children.,0.9429195523262024,0.9534935355186462,0.8536306619644165,0.9344111084938048,0.8447566032409668,0.949641227722168,0.97339106,0.94724506,0.97744596,0.9096346760300268,0.8834448316347676,0.8801680916634835
"현재, 캐나다에는 멋진 의료 시스템이 있어요.","Now, in Canada, we have that great healthcare system.","Currently, Canada has a wonderful health care system.","Currently, Canada has a wonderful healthcare system.","Right now, Canada has a great healthcare system.",0.6161854267120361,0.9233190417289734,0.654710590839386,0.9247756600379944,0.691646158695221,0.938531458377838,0.95034546,0.95848703,0.96455723,0.7900157909377946,0.8144656179650431,0.8231810786488118
이 말은 캐나다인은 무료로 새로운 골반을 가질 수 있다는 겁니다.,That means we get our new hips for free.,This means Canadians can get a new pelvis for free.,This means that Canadians can have a new pelvis for free.,This means that Canadians can get a new pelvis for free.,-0.2722006738185882,0.7945868372917175,-0.4090937972068786,0.787516176700592,-0.414163202047348,0.8056826591491699,0.56511,0.53569716,0.56567395,0.46477350203651685,0.44557177145263727,0.41160385007147215
"그리고, 7명중 막내로서 저는 어떤 상황에서도 제일 앞줄에 서 본 적이 없어요. 아시겠죠?","And being the youngest of seven, I have never been at the front of the line for anything. OK?","And, as the youngest of seven, I have never been in the front row under any circumstances. You know, right?","And as the youngest of the seven, I've never been in the front row under any circumstances. You know?","And, as the youngest of seven, I've never been in the front row of anything, okay?",0.3848267793655395,0.8628634810447693,0.4081988334655761,0.8652791380882263,0.548337459564209,0.8842160105705261,0.875593,0.85661906,0.91974485,0.7053143126333351,0.7289831068850053,0.7698422308208662
저는 몇년간을 제 골반때문에 고생했구요.,So my hip had been hurting me for years.,I have suffered with my pelvis for several years.,I have been suffering from my pelvis for several years.,I spent years struggling with my pelvis.,-0.2606415152549743,0.6838149428367615,-0.3073437809944153,0.6491015553474426,-0.2104352861642837,0.6719462871551514,0.6024731,0.5930834,0.6287943,0.46900536382133884,0.48085547143083557,0.4874304563381097
"마침내 의사를 찾아갔어요, 물론 그건 무료였죠","I finally went to the doctor, which was free.","I finally went to the doctor, of course it was free","Finally, I went to the doctor, and of course, it was free","I finally went to the doctor, which was free, of course.",0.5982016324996948,0.9462701082229614,0.6798487901687622,0.9281347990036012,0.784408450126648,0.950236678123474,0.95228463,0.9482284,0.9862187,0.783431840120399,0.8231827535110245,0.8577067827884409
그리고 의사가 정형외과 수술을 권하더군요. 물론 무료죠.,"And she referred me to an orthopedic surgeon, also free.",And the doctor recommended orthopedic surgery. Of course it's free.,"And the doctor recommended orthopedic surgery. Of course, it's free.","And the doctor recommended orthopedic surgery, which was free of charge.",0.0626275688409805,0.8236595988273621,0.0271461009979248,0.8292561769485474,0.1531156152486801,0.8320040106773376,0.7791995,0.77836263,0.75189304,0.5873556810759519,0.596846024369097,0.6227424529284288
"결국 10개월, 거의 1년을 기다린 끝에 정형외과의를 보러 갔죠.",Finally got to see him after 10 months of waiting -- almost a year.,"Finally, after waiting 10 months, almost a year, I went to see an orthopedic surgeon.","In the end, after waiting for 10 months, almost a year, I went to see an orthopedic surgeon.","Eventually, after waiting 10 months, almost a year, I went to see an orthopedic surgeon.",-0.5847036242485046,0.7989427447319031,-0.6001214981079102,0.7856189608573914,-0.5861473083496094,0.776604175567627,0.6052528,0.591099,0.59364265,0.3503647164583539,0.3793293831266942,0.34759214575410025
이것이 무료라는 것에 대한 대가랍니다.,That is what free gets you.,This is the price you pay for being free.,This is the price for being free.,That's the price you pay for being free.,0.2489244639873504,0.8473796844482422,0.0710677653551101,0.8550179600715637,0.2845420241355896,0.8318994641304016,0.8327015,0.77308124,0.83208185,0.6555598420330132,0.6120766738118066,0.6716587662206428
"저는 외과의사를 만나, 무료로 엑스레이 촬영을 했구요. 엑스레이 사진들을 보게 되었구요. 그리고 아시다시피 제가 봐도 제 골반 상태가 좋지 않다는 것을 알겠더군요. 사실 제가 마케팅 분야에서 일하고 있거든요.","I met the surgeon, and he took some free X-rays, and I got a good look at them. And you know, even I could tell my hip was bad, and I actually work in marketing.","I met a surgeon and got an X-ray for free. I got to see the X-ray pictures. And as you know, I could see that my pelvis was not in good condition. Actually, I work in the marketing field.","I met a surgeon and had an X-ray for free. I saw X-ray photos. And you know, even when I look at it, I can see that my pelvis is not in good condition. Actually, I work in the marketing field.","I went to see a surgeon, and they did an X-ray for free, and I got to see the x-rays, and you know, even I could see that my pelvis was not in good shape, and I actually work in marketing.",0.2110134959220886,0.7768467664718628,0.210968017578125,0.7761961221694946,0.2131263613700866,0.7927901148796082,0.7580006,0.7141717,0.77261126,0.6416804600608681,0.6605896737115206,0.6450781804510471
"그가 말하길, ""앨리슨, 우리는 당신을 수술할 겁니다""","So he said, ""Allison, we've got to get you on the table.","He said, ""Allison, we're going to operate on you.""","He said, ""Allison, we're going to operate on you.""","He said, ""Alison, we're going to operate on you.""",-0.3817672431468963,0.7230287194252014,-0.3817672431468963,0.7230287194252014,-0.7889623045921326,0.7062193751335144,0.7225299,0.7225299,0.5818723,0.4246606707190136,0.45504775947486154,0.2721053240370485
"당신 골반을 교체할 생각입니다만, 18개월 정도 기다리셔야 합니다.","I'm going to replace your hip -- it's about an 18-month wait.""","I'm considering replacing your pelvis, but I'll have to wait about 18 months.","I'm thinking of replacing your pelvis, but you'll have to wait about 18 months.","We're thinking about replacing your pelvis, but you'll have to wait 18 months.",0.2309280037879943,0.7593814730644226,0.1260007321834564,0.7504763007164001,0.1195439994335174,0.7368238568305969,0.8032242,0.80096614,0.7796352,0.648971254138782,0.6311256960393459,0.6102472497889028
18개월 더요,18 more months.,18 more months,18 months more,18 more months,1.0259922742843628,0.9639501571655272,0.7419026494026184,0.9115412831306458,1.0259922742843628,0.9639501571655272,0.97382075,0.97021556,0.97382075,0.9400479864350336,0.8447010768803779,0.9476231864162584
"전 이미 10달이나 기다렸어요, 그런데 18개월을 더 기다려야 한다는 군요.","I'd already waited 10 months, and I had to wait 18 more months.","I've already waited 10 months, but they say I have to wait another 18 months.","I've already waited 10 months, but I have to wait another 18 months.","I've already waited 10 months, and now I'm told I have to wait another 18 months.",0.3380931615829468,0.9097179770469666,0.7099049091339111,0.93204265832901,0.573411762714386,0.9153634905815125,0.8704523,0.9012458,0.9101042,0.6882049175097854,0.8336052686471495,0.7791747727267585
"아시겠어요, 그건 너무 긴시간이예요. 실제로 테드를 고려해서 생각해 봐도 말이죠.","You know, it's such a long wait that I actually started to even think about it in terms of TEDs.","Do you know, that's too long. Even if you actually take Ted into account.","You know, that's too long. Even if you actually think about Ted.","Okay, that's a long time, even when you actually think about it Ted.",-0.1578750759363174,0.5866190195083618,-0.1694867610931396,0.6254867911338806,-0.4176296889781952,0.6526739001274109,0.678004,0.7434432,0.795166,0.5066286358719376,0.528659942733606,0.41031363935835286
전 여기 테드에 서기 위해 새 골반을 가지지 않았을 겁니다.,I wouldn't have my new hip for this TED.,I wouldn't have a new pelvis to stand here at Ted.,I wouldn't have a new pelvis to stand here in Ted.,I wouldn't have gotten a new pelvis to stand here on Ted.,-0.4840912222862243,0.5623003840446472,-0.4956846237182617,0.5432721972465515,-0.5153310298919678,0.5404042601585388,0.8171927,0.81298107,0.770779,0.3871993854007451,0.41554480087100876,0.37394964340286774
전 아프리카에서 열릴 테드글로발을 위해 새 골반을 가지지 않았을 거구요.,I wouldn't have my new hip for TEDGlobal in Africa.,I wouldn't have a new pelvis for Ted Global in Africa.,I wouldn't have had a new pelvis for the Ted Globe in Africa.,I wouldn't have gotten a new pelvis for the TedGlobal in Africa.,-0.0871515572071075,0.6413615942001343,-0.3315884470939636,0.6211616396903992,-0.1234297007322311,0.6433789134025574,0.8085666,0.7545484,0.767393,0.5325208454606531,0.472448185058106,0.5198135406147942
전 테드2008을 위해 새 골반을 가지지 않았을 겁니다.,I would not have my new hip for TED2008.,I wouldn't have gotten a new pelvis for TED2008.,I wouldn't have had a new pelvis for Ted 2008.,I wouldn't have gotten a new pelvis for Ted2008.,0.1402017027139663,0.6557636260986328,-0.1499285101890564,0.5832118988037109,0.1402017027139663,0.6010865569114685,0.70625484,0.68559086,0.6943793,0.6157559327743004,0.5354421279625207,0.6179359532551411
전 여전히 제 아픈 골반으로 지탱하고 있었겠죠. 그건 정말 실망스러웠죠.,I would still be on my bad hip. That was so disappointing.,I would still be supporting myself with my sore pelvis. That was really disappointing.,I would still be supporting my sore pelvis. That was really disappointing.,"I would still be supporting it with my sore pelvis, which was really frustrating.",0.0424020141363143,0.7841727137565613,0.0265893340110778,0.7853720784187317,-0.1461701244115829,0.743943989276886,0.73695254,0.7145463,0.58854115,0.5799510113017237,0.5966529551190572,0.5113496580624372
"전 진료실을 나왔어요, 그리고 병원을 걸었답니다. 그때 제가 무언가를 깨달앗어요.","So, I left his office and I was walking through the hospital, and that's when I had my epiphany.",I left the doctor's office and walked through the hospital. That's when I realized something.,I left the doctor's office and walked to the hospital. That's when I realized something.,"I left the doctor's office, and I walked through the hospital, and that's when I realized something.",0.1873132586479187,0.8584949374198914,0.1661324054002761,0.8529101014137268,0.1728979796171188,0.8821253776550293,0.8367833,0.8269654,0.8413542,0.6330036928152412,0.6450420959586209,0.6301053592217899
